台湾频道1,#genre#
纬来日本,http://45.11.92.153/lbq/twtv88.php?id=337
纬来体育,http://45.11.92.153/lbq/twtv88.php?id=52
纬来电影,http://45.11.92.153/lbq/twtv88.php?id=96
纬来体育,http://45.11.92.153/lbq/twtv88.php?id=118
纬来育乐,http://45.11.92.153/lbq/twtv88.php?id=312
靖天育乐台,http://45.11.92.153/lbq/twtv88.php?id=1029
靖天卡通台,http://45.11.92.153/lbq/twtv88.php?id=344
靖天国际台,http://45.11.92.153/lbq/twtv88.php?id=345
靖洋卡通台,http://45.11.92.153/lbq/twtv88.php?id=348
靖天映画,http://45.11.92.153/lbq/twtv88.php?id=349
靖洋戏剧台,http://45.11.92.153/lbq/twtv88.php?id=319
靖天综合台,http://45.11.92.153/lbq/twtv88.php?id=308
靖天日本台,http://45.11.92.153/lbq/twtv88.php?id=108
靖天戏剧台,http://45.11.92.153/lbq/twtv88.php?id=109
靖天电影台,http://45.11.92.153/lbq/twtv88.php?id=110
靖天资讯台,http://45.11.92.153/lbq/twtv88.php?id=49
靖天欢乐台,http://45.11.92.153/lbq/twtv88.php?id=51
TVBS,http://45.11.92.153/lbq/twtv88.php?id=16
TVBS,http://45.11.92.153/lbq/twtv88.php?id=88
TVBS欢乐台,http://45.11.92.153/lbq/twtv88.php?id=40
TVBS精采台,http://45.11.92.153/lbq/twtv88.php?id=66
三立LIVE新闻,http://45.11.92.153/lbq/twtv88.php?id=4
三立台湾台,http://45.11.92.153/lbq/twtv88.php?id=35
三立都会台,http://45.11.92.153/lbq/twtv88.php?id=38
三立戏剧台,http://45.11.92.153/lbq/twtv88.php?id=64
寰宇综合,http://45.11.92.153/lbq/twtv88.php?id=190
寰宇新闻台,http://45.11.92.153/lbq/twtv88.php?id=304
寰宇新闻台湾台,http://45.11.92.153/lbq/twtv88.php?id=87
寰宇财经台,http://45.11.92.153/lbq/twtv88.php?id=320
壹综合,http://45.11.92.153/lbq/twtv88.php?id=305
壹新闻,http://45.11.92.153/lbq/twtv88.php?id=303
YouTube健康2.0,http://45.11.92.153/lbq/twtv88.php?id=2
JET综合,http://45.11.92.153/lbq/twtv88.php?id=41
好莱坞电影,http://45.11.92.153/lbq/twtv88.php?id=37
天映经典,http://45.11.92.153/lbq/twtv88.php?id=328
SET iNEWS,http://45.11.92.153/lbq/twtv88.php?id=8
幸福空间居家,http://45.11.92.153/lbq/twtv88.php?id=61
采昌影剧,http://45.11.92.153/lbq/twtv88.php?id=62
国兴卫视,http://45.11.92.153/lbq/twtv88.php?id=65
希望电视,http://45.11.92.153/lbq/twtv88.php?id=67
达文西频道,http://45.11.92.153/lbq/twtv88.php?id=68
时尚运动X,http://45.11.92.153/lbq/twtv88.php?id=71
韩国娱乐,http://45.11.92.153/lbq/twtv88.php?id=73
HakkqTV,http://45.11.92.153/lbq/twtv88.php?id=76
亚洲旅游,http://45.11.92.153/lbq/twtv88.php?id=77
卫视体育,http://45.11.92.153/lbq/twtv88.php?id=79
智林体育,http://45.11.92.153/lbq/twtv88.php?id=82
CinemaWorld,http://45.11.92.153/lbq/twtv88.php?id=84
爆笑频道,http://45.11.92.153/lbq/twtv88.php?id=85
AXN最爱电影,http://45.11.92.153/lbq/twtv88.php?id=92
世新综合5,http://45.11.92.153/lbq/twtv88.php?id=95
高点综合,http://45.11.92.153/lbq/twtv88.php?id=99
人間衛視,http://45.11.92.153/lbq/twtv88.php?id=101
好消息TV,http://45.11.92.153/lbq/twtv88.php?id=104
国兴卫视,http://45.11.92.153/lbq/twtv88.php?id=105
博斯魅力,http://45.11.92.153/lbq/twtv88.php?id=175
大爱,http://45.11.92.153/lbq/twtv88.php?id=184
金光布袋戲,http://45.11.92.153/lbq/twtv88.php?id=1060
第1商业,http://45.11.92.153/lbq/twtv88.php?id=186
EYE戏剧,http://45.11.92.153/lbq/twtv88.php?id=191
Nick儿童,http://45.11.92.153/lbq/twtv88.php?id=50
Boomerang,http://45.11.92.153/lbq/twtv88.php?id=57
AFN,http://45.11.92.153/lbq/twtv88.php?id=195
中文字Smithsonian,http://45.11.92.153/lbq/twtv88.php?id=291
中文字FoodNetwork,http://45.11.92.153/lbq/twtv88.php?id=294
Eleven 体育2,http://45.11.92.153/lbq/twtv88.php?id=301
国家地理,http://45.11.92.153/lbq/twtv88.php?id=302
非凡商业,http://45.11.92.153/lbq/twtv88.php?id=187
年代新闻,http://45.11.92.153/lbq/twtv88.php?id=236
探索亚洲,http://45.11.92.153/lbq/twtv88.php?id=306
探索频道,http://45.11.92.153/lbq/twtv88.php?id=1035
国家野生,http://45.11.92.153/lbq/twtv88.php?id=1038
AFN,http://45.11.92.153/lbq/twtv88.php?id=307
空中英语教,http://45.11.92.153/lbq/twtv88.php?id=313
非凡新闻,http://45.11.92.153/lbq/twtv88.php?id=314
立综合台,http://45.11.92.153/lbq/twtv88.php?id=315
曼迪日本台,http://45.11.92.153/lbq/twtv88.php?id=316
中华财经台,http://45.11.92.153/lbq/twtv88.php?id=317
生活英语台,http://45.11.92.153/lbq/twtv88.php?id=323
探索科学,http://45.11.92.153/lbq/twtv88.php?id=343
ELTA娱乐,http://45.11.92.153/lbq/twtv88.php?id=351
CATCHPLAY电影台,http://45.11.92.153/lbq/twtv88.php?id=362
好消息2,http://45.11.92.153/lbq/twtv88.php?id=363
卫视西片,http://45.11.92.153/lbq/twtv88.php?id=369
Love Nature,http://45.11.92.153/lbq/twtv88.php?id=388
TV5MONDE STYLE,http://45.11.92.153/lbq/twtv88.php?id=389
ELTA影剧,http://45.11.92.153/lbq/twtv88.php?id=500
CLASSICA 古典乐,http://45.11.92.153/lbq/twtv88.php?id=1027
ELTA综合,http://45.11.92.153/lbq/twtv88.php?id=1137
MOMO親子台,http://45.11.92.153/lbq/twtv88.php?id=1149
CN卡通频道,http://45.11.92.153/lbq/twtv88.php?id=107
爱放,http://45.11.92.153/lbq/twtv88.php?id=1127
爱放2,http://45.11.92.153/lbq/twtv88.php?id=299
愛放3,http://45.11.92.153/lbq/twtv88.php?id=259
唯心電視,http://45.11.92.153/lbq/twtv88.php?id=1150
光影歐洲,http://45.11.92.153/lbq/twtv88.php?id=1157
History 2,http://45.11.92.153/lbq/twtv88.php?id=1158
CI罪案偵查,http://45.11.92.153/lbq/twtv88.php?id=1159
AXN亞洲,http://45.11.92.153/lbq/twtv88.php?id=1066
MOMO亲子,http://45.11.92.153/lbq/twtv88.php?id=1126
Z频道,http://45.11.92.153/lbq/twtv88.php?id=1130
Cartoon,http://45.11.92.153/lbq/twtv88.php?id=48
FOX 体育1,http://45.11.92.153/lbq/twtv88.php?id=1131
FOX 体育2,http://45.11.92.153/lbq/twtv88.php?id=1132
FOX,http://45.11.92.153/lbq/twtv88.php?id=384
FOX ACTION,http://45.11.92.153/lbq/twtv88.php?id=385
FOX CRIME,http://45.11.92.153/lbq/twtv88.php?id=386
Eleven 体育1,http://45.11.92.153/lbq/twtv88.php?id=1133
TRACE体育Stars,http://45.11.92.153/lbq/twtv88.php?id=1037
动物星球1,http://45.11.92.153/lbq/twtv88.php?id=367
动物星球2,http://45.11.92.153/lbq/twtv88.php?id=368
博斯高球1,http://45.11.92.153/lbq/twtv88.php?id=377
博斯无限,http://45.11.92.153/lbq/twtv88.php?id=381
博斯无限2,http://45.11.92.153/lbq/twtv88.php?id=426
博斯高球2,http://45.11.92.153/lbq/twtv88.php?id=378
博斯运动1,http://45.11.92.153/lbq/twtv88.php?id=379
博斯运动2,http://45.11.92.153/lbq/twtv88.php?id=380
博斯网球,http://45.11.92.153/lbq/twtv88.php?id=498
ELTA体育1台,http://45.11.92.153/lbq/twtv88.php?id=192
ELTA体育2台,http://45.11.92.153/lbq/twtv88.php?id=193
ELTA体育3台,http://45.11.92.153/lbq/twtv88.php?id=194
港澳频道,#genre#
18台,http://45.11.92.153/lbq/twtv88.php?id=44
翡翠台1,http://45.11.92.153/lbq/twtv88.php?id=390
翡翠台2,http://45.11.92.153/lbq/twtv88.php?id=1084
明珠台,http://45.11.92.153/lbq/twtv88.php?id=391
J2,http://45.11.92.153/lbq/twtv88.php?id=392
香港开电视,http://45.11.92.153/lbq/twtv88.php?id=17
澳门卫星,http://45.11.92.153/lbq/twtv88.php?id=29
美国唐人街台,http://45.11.92.153/lbq/twtv88.php?id=43
RTHK31,http://45.11.92.153/lbq/twtv88.php?id=353
RTHK32,http://45.11.92.153/lbq/twtv88.php?id=397
有线娱乐,http://45.11.92.153/lbq/twtv88.php?id=360
有线体育2,http://45.11.92.153/lbq/twtv88.php?id=356
无线财经,http://45.11.92.153/lbq/twtv88.php?id=393
无线新闻,http://45.11.92.153/lbq/twtv88.php?id=394
有线新闻,http://45.11.92.153/lbq/twtv88.php?id=395
无线新闻,http://45.11.92.153/lbq/twtv88.php?id=45
澳门莲花,http://45.11.92.153/lbq/twtv88.php?id=70
ViUtv,http://45.11.92.153/lbq/twtv88.php?id=72
星卫娱乐台,http://45.11.92.153/lbq/twtv88.php?id=89
卫视电影,http://45.11.92.153/lbq/twtv88.php?id=93
星卫电影,http://45.11.92.153/lbq/twtv88.php?id=496
影迷数位电影,http://45.11.92.153/lbq/twtv88.php?id=497
有线电影,http://45.11.92.153/lbq/twtv88.php?id=354
澳视葡语,http://45.11.92.153/lbq/twtv88.php?id=24
凤凰资讯,http://45.11.92.153/lbq/twtv88.php?id=1080
凤凰电影,http://45.11.92.153/lbq/twtv88.php?id=18
凤凰电影,http://45.11.92.153/lbq/twtv88.php?id=19
凤凰资讯,http://45.11.92.153/lbq/twtv88.php?id=21
凤凰中文,http://45.11.92.153/lbq/twtv88.php?id=357
凤凰香港,http://45.11.92.153/lbq/twtv88.php?id=358
凤凰资讯,http://45.11.92.153/lbq/twtv88.php?id=359
香港卫视,http://45.11.92.153/lbq/twtv88.php?id=399
美亚电影,http://45.11.92.153/lbq/twtv88.php?id=375
NOW新闻,http://45.11.92.153/lbq/twtv88.php?id=396
NOW直播,http://45.11.92.153/lbq/twtv88.php?id=400
有线体育1,http://45.11.92.153/lbq/twtv88.php?id=401
翡翠台,http://45.11.92.153/lbq/twtv88.php?id=429
新时代温哥华,http://45.11.92.153/lbq/twtv88.php?id=1032
新时代多伦多2,http://45.11.92.153/lbq/twtv88.php?id=1033
TVB星河,http://45.11.92.153/lbq/twtv88.php?id=1079
卫视卡式台,http://45.11.92.153/lbq/twtv88.php?id=1085

台灣頻道2,#genre#
民視,http://45.11.92.153/lbq/twtv88.php?id=26
民視,http://45.11.92.153/lbq/twtv88.php?id=336
台視,http://45.11.92.153/lbq/twtv88.php?id=27
台視,http://45.11.92.153/lbq/twtv88.php?id=326
台視,http://45.11.92.153/lbq/twtv88.php?id=312
中視,http://45.11.92.153/lbq/twtv88.php?id=333
中視,http://45.11.92.153/lbq/twtv88.php?id=28
中視,http://45.11.92.153/lbq/twtv88.php?id=1041
華視,http://45.11.92.153/lbq/twtv88.php?id=32
華視,http://45.11.92.153/lbq/twtv88.php?id=2282
公視,http://45.11.92.153/lbq/twtv88.php?id=86
公視測試,http://45.11.92.153/lbq/twtv88.php?id=2302
幸福空間居家,http://45.11.92.153/lbq/twtv88.php?id=61
好消息,http://45.11.92.153/lbq/twtv88.php?id=104
原住民電視,http://45.11.92.153/lbq/twtv88.php?id=95
客家電視,http://45.11.92.153/lbq/twtv88.php?id=76
緯來綜合,http://45.11.92.153/lbq/twtv88.php?id=340
八大第一,http://45.11.92.153/lbq/twtv88.php?id=318
八大綜合,http://45.11.92.153/lbq/twtv88.php?id=2286
東風衛視,http://45.11.92.153/lbq/twtv88.php?id=2152
三立臺灣,http://45.11.92.153/lbq/twtv88.php?id=35
三立臺灣,http://45.11.92.153/lbq/twtv88.php?id=21
三立都會,http://45.11.92.153/lbq/twtv88.php?id=38
三立都會,http://45.11.92.153/lbq/twtv88.php?id=1001
衛視中文,http://45.11.92.153/lbq/twtv88.php?id=342
東森綜合,http://45.11.92.153/lbq/twtv88.php?id=372
東森超視,http://45.11.92.153/lbq/twtv88.php?id=80
東森購物2,http://45.11.92.153/lbq/twtv88.php?id=1156
中天綜合,http://45.11.92.153/lbq/twtv88.php?id=54
中天娛樂,http://45.11.92.153/lbq/twtv88.php?id=324
TVBS歡樂,http://45.11.92.153/lbq/twtv88.php?id=40
TVBS歡樂,http://45.11.92.153/lbq/twtv88.php?id=1358
八大精彩,http://45.11.92.153/lbq/twtv88.php?id=1024
JET綜合,http://45.11.92.153/lbq/twtv88.php?id=41
東森購物1,http://45.11.92.153/lbq/twtv88.php?id=1155
TVBS,http://45.11.92.153/lbq/twtv88.php?id=16
TVBS,http://45.11.92.153/lbq/twtv88.php?id=2273
緯來育樂,http://45.11.92.153/lbq/twtv88.php?id=338
緯來日本,http://45.11.92.153/lbq/twtv88.php?id=337
緯來日本,http://45.11.92.153/lbq/twtv88.php?id=46
國興衛視,http://45.11.92.153/lbq/twtv88.php?id=65
信大電視,http://45.11.92.153/lbq/twtv88.php?id=422
八大娱乐,http://45.11.92.153/lbq/twtv88.php?id=105
好消息2,http://45.11.92.153/lbq/twtv88.php?id=363
高點綜合,http://45.11.92.153/lbq/twtv88.php?id=99
中天亞洲,http://45.11.92.153/lbq/twtv88.php?id=2277
中天亞洲,http://45.11.92.153/lbq/twtv88.php?id=322
民視綜藝,http://45.11.92.153/lbq/twtv88.php?id=98
民視第一台,http://45.11.92.153/lbq/twtv88.php?id=34
民視台灣,http://45.11.92.153/lbq/twtv88.php?id=36
龍華日韓,http://45.11.92.153/lbq/twtv88.php?id=382
豬哥亮歌廳秀,http://45.11.92.153/lbq/twtv88.php?id=75
ELTA娛樂台,http://45.11.92.153/lbq/twtv88.php?id=351
星衛娛樂,http://45.11.92.153/lbq/twtv88.php?id=89
靖天國際,http://45.11.92.153/lbq/twtv88.php?id=345
三立綜合,http://45.11.92.153/lbq/twtv88.php?id=315
靖天資訊,http://45.11.92.153/lbq/twtv88.php?id=49
靖天綜合,http://45.11.92.153/lbq/twtv88.php?id=308
中視經典,http://45.11.92.153/lbq/twtv88.php?id=185
寰宇綜合,http://45.11.92.153/lbq/twtv88.php?id=190
中視菁采,http://45.11.92.153/lbq/twtv88.php?id=74
TVBS精采,http://45.11.92.153/lbq/twtv88.php?id=66
年代much,http://45.11.92.153/lbq/twtv88.php?id=1359
ELTA綜合,http://45.11.92.153/lbq/twtv88.php?id=1137
双子衛視,http://45.11.92.153/lbq/twtv88.php?id=29
TVN台湾版,http://45.11.92.153/lbq/twtv88.php?id=2288
東森購物3,http://45.11.92.153/lbq/twtv88.php?id=1584
MOMO購物1,http://45.11.92.153/lbq/twtv88.php?id=1585
MOMO購物2,http://45.11.92.153/lbq/twtv88.php?id=1586
天良綜合,http://45.11.92.153/lbq/twtv88.php?id=1587
誠心電視,http://45.11.92.153/lbq/twtv88.php?id=1590
美好購物1,http://45.11.92.153/lbq/twtv88.php?id=1591
美好購物2,http://45.11.92.153/lbq/twtv88.php?id=1592
大立電視,http://45.11.92.153/lbq/twtv88.php?id=1593
信吉衛視,http://45.11.92.153/lbq/twtv88.php?id=294
三立新聞,http://45.11.92.153/lbq/twtv88.php?id=2392
三立新聞,http://45.11.92.153/lbq/twtv88.php?id=2279
三立新聞,http://45.11.92.153/lbq/twtv88.php?id=4
東森新聞,http://45.11.92.153/lbq/twtv88.php?id=2393
東森新聞,http://45.11.92.153/lbq/twtv88.php?id=2419
東森新聞,http://45.11.92.153/lbq/twtv88.php?id=1016
中天新聞,http://45.11.92.153/lbq/twtv88.php?id=2420
中天新聞,http://45.11.92.153/lbq/twtv88.php?id=3
民視新聞,http://45.11.92.153/lbq/twtv88.php?id=2395
民視新聞,http://45.11.92.153/lbq/twtv88.php?id=2421
民視新聞,http://45.11.92.153/lbq/twtv88.php?id=13
TVBS新聞,http://45.11.92.153/lbq/twtv88.php?id=2396
TVBS新聞,http://45.11.92.153/lbq/twtv88.php?id=2422
TVBS新聞,http://45.11.92.153/lbq/twtv88.php?id=2
東森財經,http://45.11.92.153/lbq/twtv88.php?id=2397
東森財經,http://45.11.92.153/lbq/twtv88.php?id=2423
東森財經,http://45.11.92.153/lbq/twtv88.php?id=12
華視新聞,http://45.11.92.153/lbq/twtv88.php?id=2424
華視新聞,http://45.11.92.153/lbq/twtv88.php?id=6
三立iNEWS,http://45.11.92.153/lbq/twtv88.php?id=2425
三立iNEWS,http://45.11.92.153/lbq/twtv88.php?id=8
台視新聞,http://45.11.92.153/lbq/twtv88.php?id=2399
台視新聞,http://45.11.92.153/lbq/twtv88.php?id=2426
台視新聞,http://45.11.92.153/lbq/twtv88.php?id=1
中視新聞,http://45.11.92.153/lbq/twtv88.php?id=2400
寰宇新聞,http://45.11.92.153/lbq/twtv88.php?id=2401
寰宇新聞,http://45.11.92.153/lbq/twtv88.php?id=304
年代新聞,http://45.11.92.153/lbq/twtv88.php?id=1099
壹新聞,http://45.11.92.153/lbq/twtv88.php?id=494
台視財經,http://45.11.92.153/lbq/twtv88.php?id=300
三立国際,http://45.11.92.153/lbq/twtv88.php?id=2285
非凡商業,http://45.11.92.153/lbq/twtv88.php?id=187
FRANCE 24,http://45.11.92.153/lbq/twtv88.php?id=1042
CBN News,http://45.11.92.153/lbq/twtv88.php?id=499
半島國際新聞,http://45.11.92.153/lbq/twtv88.php?id=1498
東森戲劇,http://45.11.92.153/lbq/twtv88.php?id=321
八大戲劇,http://45.11.92.153/lbq/twtv88.php?id=81
緯來戲劇,http://45.11.92.153/lbq/twtv88.php?id=339
衛視電影,http://45.11.92.153/lbq/twtv88.php?id=93
東森電影,http://45.11.92.153/lbq/twtv88.php?id=350
緯來電影,http://45.11.92.153/lbq/twtv88.php?id=96
HBO HD,http://45.11.92.153/lbq/twtv88.php?id=332
東森洋片,http://45.11.92.153/lbq/twtv88.php?id=1128
壹電影,http://45.11.92.153/lbq/twtv88.php?id=2284
好萊塢電影,http://45.11.92.153/lbq/twtv88.php?id=37
愛爾達影劇,http://45.11.92.153/lbq/twtv88.php?id=50

新马频道,#genre#
新马-双星,http://45.11.92.153/lbq/twtv88.php?id=1086
新马CERIA,http://45.11.92.153/lbq/twtv88.php?id=1161
新马AOD351,http://45.11.92.153/lbq/twtv88.php?id=1162
新马AOD352,http://45.11.92.153/lbq/twtv88.php?id=1163
新马AOD353,http://45.11.92.153/lbq/twtv88.php?id=1164
新马AOD354,http://45.11.92.153/lbq/twtv88.php?id=1165
新马AOD355,http://45.11.92.153/lbq/twtv88.php?id=1166
新马WWE,http://45.11.92.153/lbq/twtv88.php?id=1167
新马EGG,http://45.11.92.153/lbq/twtv88.php?id=1168
新马OKTO,http://45.11.92.153/lbq/twtv88.php?id=1169
新马TVN,http://45.11.92.153/lbq/twtv88.php?id=1170
新马BNC,http://45.11.92.153/lbq/twtv88.php?id=1171
新马Arena,http://45.11.92.153/lbq/twtv88.php?id=1172
新马CRICKET,http://45.11.92.153/lbq/twtv88.php?id=1173
新马IKIM TV,http://45.11.92.153/lbq/twtv88.php?id=1147
新马AOD353,http://45.11.92.153/lbq/twtv88.php?id=1067
新马AOD354,http://45.11.92.153/lbq/twtv88.php?id=1068
新马AOD355,http://45.11.92.153/lbq/twtv88.php?id=1069
新马ASSP1_,http://45.11.92.153/lbq/twtv88.php?id=1070
新马ASSP2_,http://45.11.92.153/lbq/twtv88.php?id=1071
新马ASSP3_,http://45.11.92.153/lbq/twtv88.php?id=1072
新马AEC,http://45.11.92.153/lbq/twtv88.php?id=1073
新马ASSP4,http://45.11.92.153/lbq/twtv88.php?id=1074
新马OKEY,http://45.11.92.153/lbq/twtv88.php?id=1075
新马Suria,http://45.11.92.153/lbq/twtv88.php?id=1076
新马Channel U,http://45.11.92.153/lbq/twtv88.php?id=1077
新马Vasantham,http://45.11.92.153/lbq/twtv88.php?id=1078
新马AXN,http://45.11.92.153/lbq/twtv88.php?id=1044
新马BNC,http://45.11.92.153/lbq/twtv88.php?id=1045
新马ARENA,http://45.11.92.153/lbq/twtv88.php?id=1049
新马AOD351,http://45.11.92.153/lbq/twtv88.php?id=1050
新马-全佳,http://45.11.92.153/lbq/twtv88.php?id=427
新马-AOD,http://45.11.92.153/lbq/twtv88.php?id=428
新马-双星,http://45.11.92.153/lbq/twtv88.php?id=431
新马-欢喜台,http://45.11.92.153/lbq/twtv88.php?id=432
新马Astro AEC,http://45.11.92.153/lbq/twtv88.php?id=433
新马Astro suria,http://45.11.92.153/lbq/twtv88.php?id=434
新马TV1,http://45.11.92.153/lbq/twtv88.php?id=435
新马TV2,http://45.11.92.153/lbq/twtv88.php?id=436
新马TV3,http://45.11.92.153/lbq/twtv88.php?id=437
新马TV9,http://45.11.92.153/lbq/twtv88.php?id=438
新马NTV7 Awani,http://45.11.92.153/lbq/twtv88.php?id=439
新马Astro Awani,http://45.11.92.153/lbq/twtv88.php?id=440
新马-天映,http://45.11.92.153/lbq/twtv88.php?id=441
新马TV8,http://45.11.92.153/lbq/twtv88.php?id=442
新马AOD352,http://45.11.92.153/lbq/twtv88.php?id=450
新马Channel5,http://45.11.92.153/lbq/twtv88.php?id=141
新马Channel8,http://45.11.92.153/lbq/twtv88.php?id=142
新马AWANI,http://45.11.92.153/lbq/twtv88.php?id=1151
英美加印,#genre#
Disney j,http://45.11.92.153/lbq/twtv88.php?id=47
Disneyxd,http://45.11.92.153/lbq/twtv88.php?id=31
Nickj,http://45.11.92.153/lbq/twtv88.php?id=53
Nickelodeon europe,http://45.11.92.153/lbq/twtv88.php?id=56
BabyFirst,http://45.11.92.153/lbq/twtv88.php?id=173
BBC CBeebies,http://45.11.92.153/lbq/twtv88.php?id=115
Babylu,http://45.11.92.153/lbq/twtv88.php?id=1129
国外5,http://45.11.92.153/lbq/twtv88.php?id=5
皇马足球,http://45.11.92.153/lbq/twtv88.php?id=20
VOA衛視,http://45.11.92.153/lbq/twtv88.php?id=22
Animax,http://45.11.92.153/lbq/twtv88.php?id=60
Travel Channel,http://45.11.92.153/lbq/twtv88.php?id=63
cnex,http://45.11.92.153/lbq/twtv88.php?id=91
M2O音乐,http://45.11.92.153/lbq/twtv88.php?id=94
BBC earth,http://45.11.92.153/lbq/twtv88.php?id=97
BLVE ANT EXTREME,http://45.11.92.153/lbq/twtv88.php?id=103
音樂-MTV Live,http://45.11.92.153/lbq/twtv88.php?id=106
LUXE.TV,http://45.11.92.153/lbq/twtv88.php?id=112
Fashion One,http://45.11.92.153/lbq/twtv88.php?id=113
History,http://45.11.92.153/lbq/twtv88.php?id=116
英國-BBC 1,http://45.11.92.153/lbq/twtv88.php?id=158
英國-BBC Parliament,http://45.11.92.153/lbq/twtv88.php?id=159
英國-BBC Entertainment,http://45.11.92.153/lbq/twtv88.php?id=160
英國-BBC Alba,http://45.11.92.153/lbq/twtv88.php?id=161
英國-BBC Parliament,http://45.11.92.153/lbq/twtv88.php?id=162
英國-BBC News,http://45.11.92.153/lbq/twtv88.php?id=164
英国-BBC 2,http://45.11.92.153/lbq/twtv88.php?id=157
BT Sport 1,http://45.11.92.153/lbq/twtv88.php?id=165
BT Sport 2,http://45.11.92.153/lbq/twtv88.php?id=166
BT Sport 3,http://45.11.92.153/lbq/twtv88.php?id=167
BT Sport ESPN,http://45.11.92.153/lbq/twtv88.php?id=168
英国-Channel 4,http://45.11.92.153/lbq/twtv88.php?id=169
ESPN-U,http://45.11.92.153/lbq/twtv88.php?id=170
Sky Sport 2,http://45.11.92.153/lbq/twtv88.php?id=171
Sky Sports 1,http://45.11.92.153/lbq/twtv88.php?id=172
車迷TV,http://45.11.92.153/lbq/twtv88.php?id=352
VIUTV6,http://45.11.92.153/lbq/twtv88.php?id=176
体育MainEvent,http://45.11.92.153/lbq/twtv88.php?id=177
Sky Sports Action,http://45.11.92.153/lbq/twtv88.php?id=178
Sky Sports Cricket,http://45.11.92.153/lbq/twtv88.php?id=179
Sky Sports Golf,http://45.11.92.153/lbq/twtv88.php?id=180
Sky Sports PremierLeague,http://45.11.92.153/lbq/twtv88.php?id=181
Sky Sports,http://45.11.92.153/lbq/twtv88.php?id=182
Sky Sport 3,http://45.11.92.153/lbq/twtv88.php?id=183
Medici Arts,http://45.11.92.153/lbq/twtv88.php?id=188
Bloomberg Europe,http://45.11.92.153/lbq/twtv88.php?id=370
VTV4,http://45.11.92.153/lbq/twtv88.php?id=341
FOX Sport 3,http://45.11.92.153/lbq/twtv88.php?id=376
FOX Family,http://45.11.92.153/lbq/twtv88.php?id=383
